user_id,signup_date,signup_channel,age,country,experiment_group,funnel_stage
110,2026-03-22,Email Campaign,64,United States,B,Subscription
111,2025-11-01,LinkedIn,49,United Kingdom,B,Signup
112,2025-11-28,Organic Search,37,Germany,A,Feature Adoption
113,2026-04-10,Google Ads,65,Canada,A,Feature Adoption
114,2026-02-18,Organic Search,25,United States,A,Feature Adoption
115,2026-04-01,Email Campaign,30,Germany,B,Subscription
116,2026-04-28,Email Campaign,36,United Kingdom,A,Subscription
117,2025-11-29,Organic Search,18,United States,A,First Login
118,2025-07-24,Email Campaign,62,United Kingdom,A,Feature Adoption
119,2026-03-09,Organic Search,36,United States,B,Subscription
120,2025-10-03,Email Campaign,48,United States,B,First Login
121,2026-03-09,Organic Search,21,United Kingdom,B,Renewal
122,2025-12-03,Organic Search,53,United States,A,Feature Adoption
123,2025-10-24,LinkedIn,46,United States,B,Subscription
124,2026-02-05,Organic Search,57,United Kingdom,A,Email Verification
125,2025-10-15,LinkedIn,23,United States,B,Feature Adoption
126,2025-08-08,Organic Search,62,Canada,A,Feature Adoption
127,2025-10-27,Organic Search,47,United States,B,Feature Adoption
128,2025-11-13,LinkedIn,60,United Kingdom,A,Feature Adoption
129,2025-08-28,Google Ads,35,United Kingdom,A,Email Verification
130,2025-09-23,LinkedIn,54,United Kingdom,A,Feature Adoption
131,2026-02-25,LinkedIn,35,Germany,A,Feature Adoption
132,2025-08-11,Google Ads,65,India,B,Feature Adoption
133,2025-08-16,Organic Search,54,Germany,A,Signup
134,2025-11-15,Google Ads,29,France,B,Subscription
135,2025-11-20,Organic Search,58,United Kingdom,A,Renewal
136,2026-02-26,Organic Search,60,United States,B,Feature Adoption
137,2026-01-27,LinkedIn,43,United States,A,Feature Adoption
138,2026-02-18,Organic Search,25,United States,A,Feature Adoption
139,2026-03-21,Referral,52,United States,B,First Login
140,2026-03-23,Google Ads,58,France,B,First Login
141,2025-11-14,Google Ads,46,India,A,Feature Adoption
142,2025-07-15,Email Campaign,33,United Kingdom,A,Feature Adoption
143,2025-07-08,Google Ads,25,United States,B,Feature Adoption
144,2025-09-17,Google Ads,50,Germany,A,Feature Adoption
145,2026-03-05,Email Campaign,53,United States,B,Feature Adoption
146,2026-03-18,LinkedIn,22,United States,B,Renewal
147,2026-01-29,Organic Search,35,France,A,Feature Adoption
148,2025-11-30,Referral,60,United Kingdom,B,Feature Adoption
149,2026-04-02,Google Ads,52,United States,B,Renewal
150,2025-10-05,Email Campaign,42,United States,B,Renewal
151,2025-07-23,Organic Search,42,Canada,B,Subscription
152,2025-09-16,Google Ads,50,United States,A,Feature Adoption
153,2025-08-21,Referral,51,Canada,A,Signup
154,2025-09-12,Google Ads,27,Germany,B,Renewal
155,2025-11-13,Organic Search,59,Germany,B,Feature Adoption
156,2026-03-31,Google Ads,63,United States,A,Feature Adoption
157,2026-04-04,Organic Search,58,United States,A,Feature Adoption
158,2025-10-25,LinkedIn,24,Canada,A,Subscription
159,2025-08-21,Google Ads,19,Germany,B,Renewal
160,2025-11-28,Google Ads,33,Canada,A,Feature Adoption
161,2025-10-01,Organic Search,42,United States,A,Feature Adoption
162,2026-04-25,Organic Search,34,Canada,B,Subscription
163,2026-02-24,Referral,28,Germany,B,Renewal
164,2026-04-27,Organic Search,62,India,B,Renewal
165,2025-10-10,Email Campaign,24,India,B,Subscription
166,2026-04-21,Organic Search,19,Germany,A,Subscription
167,2025-11-18,Organic Search,65,India,A,Renewal
168,2026-03-12,Referral,32,India,A,Feature Adoption
169,2025-10-06,LinkedIn,64,Germany,A,Subscription
170,2025-09-09,LinkedIn,59,India,B,Renewal
171,2025-07-18,Google Ads,23,Germany,A,Feature Adoption
172,2026-01-29,Organic Search,52,United States,A,Feature Adoption
173,2026-03-14,Referral,34,Australia,A,Renewal
174,2025-11-29,LinkedIn,25,United States,B,Feature Adoption
175,2025-10-24,Referral,43,Germany,A,Subscription
176,2026-01-04,Organic Search,34,United States,A,Feature Adoption
177,2025-11-12,Google Ads,41,Australia,B,Feature Adoption
178,2025-07-13,LinkedIn,38,India,A,Feature Adoption
179,2025-08-02,LinkedIn,62,Canada,B,Subscription
180,2025-09-10,Organic Search,49,United States,B,Feature Adoption
181,2026-04-02,Organic Search,60,Canada,A,Subscription
182,2026-04-03,Google Ads,27,Germany,A,Subscription
183,2026-03-08,LinkedIn,35,India,B,Feature Adoption
184,2026-02-13,Google Ads,41,United States,B,Subscription
185,2026-04-05,Referral,21,United Kingdom,B,Feature Adoption
186,2025-09-01,Email Campaign,23,Australia,A,Feature Adoption
187,2025-07-11,Organic Search,26,United States,A,Feature Adoption
188,2026-04-10,Organic Search,32,United States,B,Feature Adoption
189,2025-07-02,Organic Search,26,India,A,Subscription
190,2025-08-26,LinkedIn,18,United States,B,Renewal
191,2026-04-28,Organic Search,21,United States,B,Subscription
192,2025-08-28,LinkedIn,41,Canada,A,First Login
193,2026-03-15,Organic Search,64,United Kingdom,A,Renewal
194,2026-03-24,Organic Search,19,United Kingdom,B,Subscription
195,2026-01-22,Google Ads,63,United States,A,Email Verification
196,2025-08-11,Organic Search,26,United States,B,Subscription
197,2026-04-07,LinkedIn,56,United States,A,Feature Adoption
198,2026-02-06,Organic Search,59,Germany,A,Subscription
199,2025-10-19,Google Ads,44,India,B,Subscription
200,2026-01-29,LinkedIn,38,United States,A,Feature Adoption
201,2025-09-17,LinkedIn,23,Canada,A,Email Verification
202,2025-08-19,LinkedIn,26,United States,A,Feature Adoption
203,2026-04-14,Google Ads,44,Germany,B,Subscription
204,2026-02-02,Referral,36,Germany,A,Feature Adoption
205,2026-04-22,Google Ads,48,United States,B,Feature Adoption
206,2026-04-11,Google Ads,54,France,B,Subscription
207,2026-04-14,Email Campaign,57,Australia,A,Feature Adoption
208,2025-11-14,Organic Search,37,United States,A,Feature Adoption
209,2025-10-01,Referral,43,United Kingdom,B,Subscription
210,2025-07-16,Organic Search,42,United Kingdom,B,Feature Adoption
211,2026-01-06,Organic Search,54,United States,A,Renewal
212,2025-09-18,Organic Search,61,United Kingdom,B,Subscription
213,2026-02-03,Google Ads,35,Canada,B,Subscription
214,2025-12-24,Google Ads,61,United States,A,Feature Adoption
215,2025-12-05,Organic Search,56,United States,B,Feature Adoption
216,2025-10-17,LinkedIn,36,France,B,Signup
217,2026-02-06,Organic Search,63,United States,B,Subscription
218,2025-12-29,Organic Search,20,India,B,Subscription
219,2025-08-09,Referral,54,United Kingdom,B,Subscription
220,2025-11-26,Organic Search,38,United States,B,Renewal
221,2026-02-21,Referral,23,India,B,Feature Adoption
222,2026-02-09,Google Ads,43,United Kingdom,A,Subscription
223,2025-10-22,Organic Search,50,United States,A,Feature Adoption
224,2025-10-08,Referral,64,United States,A,Feature Adoption
225,2025-09-14,Organic Search,30,United States,B,Feature Adoption
226,2025-08-08,Organic Search,49,France,B,Subscription
227,2026-04-23,Google Ads,54,India,A,Renewal
228,2025-12-13,Referral,27,United Kingdom,B,Subscription
229,2025-12-03,LinkedIn,40,United Kingdom,A,Feature Adoption
230,2026-02-17,Organic Search,36,United States,B,Renewal
231,2025-08-16,LinkedIn,47,United Kingdom,A,Renewal
232,2025-07-22,Google Ads,59,Australia,B,Subscription
233,2026-03-14,Organic Search,24,United States,A,Subscription
234,2025-08-13,Google Ads,33,United States,A,Renewal
235,2026-03-26,Google Ads,41,United States,A,Feature Adoption
236,2025-12-21,LinkedIn,58,United States,A,Email Verification
237,2025-08-18,Google Ads,34,United States,A,Subscription
238,2025-09-15,Organic Search,27,United Kingdom,A,Feature Adoption
239,2026-01-17,Organic Search,23,Germany,B,Feature Adoption
240,2025-12-16,Referral,65,Germany,A,Renewal
241,2025-08-17,LinkedIn,41,Canada,B,Feature Adoption
242,2025-10-18,Organic Search,30,France,B,Feature Adoption
243,2025-08-09,Organic Search,50,France,A,Subscription
244,2026-03-27,Organic Search,57,United States,B,Feature Adoption
245,2025-09-22,Organic Search,57,Germany,A,Feature Adoption
246,2026-02-10,Organic Search,64,United States,B,Subscription
247,2025-11-23,LinkedIn,32,France,A,Feature Adoption
248,2026-02-26,Referral,61,United States,A,Renewal
249,2026-02-22,LinkedIn,50,France,A,Renewal
250,2025-10-11,Referral,34,United States,B,Subscription
251,2026-01-07,Google Ads,51,United States,A,Feature Adoption
252,2025-09-21,Organic Search,27,India,A,Email Verification
253,2025-10-22,Referral,19,India,B,Feature Adoption
254,2026-01-08,Organic Search,41,India,B,Feature Adoption
255,2025-08-20,Referral,27,United Kingdom,B,Feature Adoption
256,2026-02-27,LinkedIn,63,United States,B,Subscription
257,2025-08-10,Organic Search,27,United States,A,Subscription
258,2026-03-28,Google Ads,33,France,B,First Login
259,2026-01-31,LinkedIn,22,United Kingdom,B,Renewal
260,2026-04-01,Organic Search,33,United Kingdom,A,Feature Adoption
261,2025-07-01,LinkedIn,44,United States,B,Subscription
262,2026-03-26,Email Campaign,51,United States,A,Subscription
263,2026-03-17,Google Ads,48,United States,B,Feature Adoption
264,2026-01-08,Organic Search,22,United States,B,Subscription
265,2025-08-23,LinkedIn,39,Germany,B,Feature Adoption
266,2025-12-21,Referral,61,United States,B,Subscription
267,2025-10-02,Referral,47,United States,B,Feature Adoption
268,2025-10-11,Referral,37,United States,A,Renewal
269,2026-04-05,Google Ads,59,United States,B,Feature Adoption
270,2025-07-25,Referral,25,United States,A,Feature Adoption
271,2026-01-21,LinkedIn,42,India,B,Feature Adoption
272,2026-03-12,Google Ads,35,France,A,Subscription
273,2025-08-10,Google Ads,29,India,A,Feature Adoption
274,2025-08-10,Organic Search,46,United States,A,Feature Adoption
275,2026-02-13,Google Ads,40,United States,A,Feature Adoption
276,2025-07-30,Organic Search,41,United Kingdom,A,Subscription
277,2025-09-20,Email Campaign,56,United States,A,Feature Adoption
278,2025-09-03,Organic Search,41,France,B,Renewal
279,2025-07-17,LinkedIn,41,Germany,B,Renewal
280,2026-04-20,Organic Search,38,United States,A,Feature Adoption
281,2025-08-28,Organic Search,51,United States,B,Subscription
282,2025-11-12,LinkedIn,31,Germany,A,Feature Adoption
283,2026-03-09,Organic Search,22,United States,B,Renewal
284,2026-02-13,Email Campaign,38,Australia,A,Subscription
285,2026-04-08,Google Ads,28,India,A,Renewal
286,2025-09-28,LinkedIn,25,United Kingdom,A,Subscription
287,2025-10-30,LinkedIn,53,United States,A,Feature Adoption
288,2026-04-09,Organic Search,22,India,B,Renewal
289,2026-03-03,Google Ads,54,France,B,Renewal
290,2025-08-07,Google Ads,40,Germany,B,Renewal
291,2026-04-09,LinkedIn,26,United States,B,Renewal
292,2025-07-29,Referral,37,United Kingdom,B,Feature Adoption
293,2025-10-24,Organic Search,36,India,A,Feature Adoption
294,2026-04-09,Organic Search,57,United Kingdom,A,Feature Adoption
295,2025-09-25,Google Ads,28,United Kingdom,A,Subscription
296,2025-12-20,Referral,19,United Kingdom,B,Renewal
297,2026-04-22,Organic Search,54,United States,B,Subscription
298,2026-03-12,Referral,59,United Kingdom,A,Feature Adoption
299,2026-01-24,Organic Search,21,United States,B,Subscription
300,2026-02-23,Organic Search,38,United Kingdom,A,Feature Adoption
301,2025-12-24,Email Campaign,41,United States,A,First Login
302,2025-11-01,Google Ads,33,United States,B,First Login
303,2026-01-13,Referral,28,Canada,A,Renewal
304,2025-12-08,Organic Search,50,United States,B,Renewal
305,2026-03-12,Organic Search,50,India,B,Feature Adoption
306,2026-04-25,Google Ads,49,United States,A,Subscription
307,2026-02-26,Organic Search,24,United States,B,Renewal
308,2026-01-04,LinkedIn,43,United States,B,Subscription
309,2026-01-02,Google Ads,50,United States,B,Subscription
310,2025-08-30,Organic Search,41,United States,A,Feature Adoption
311,2026-01-04,LinkedIn,50,United States,B,First Login
312,2025-07-20,Organic Search,48,United States,A,First Login
313,2026-03-21,Organic Search,38,India,B,Renewal
314,2025-12-01,Google Ads,50,United Kingdom,A,Subscription
315,2025-12-01,Google Ads,39,United States,A,Renewal
316,2026-04-25,Organic Search,62,India,A,Feature Adoption
317,2025-11-13,Email Campaign,55,France,A,Subscription
318,2026-04-25,Google Ads,64,United Kingdom,A,Subscription
319,2025-09-14,Referral,54,United States,A,First Login
320,2025-07-10,Google Ads,44,Canada,A,Feature Adoption
321,2026-02-27,Referral,21,Germany,A,Feature Adoption
322,2026-04-14,Organic Search,51,Germany,B,Renewal
323,2026-02-21,Referral,40,United States,A,Renewal
324,2025-11-13,LinkedIn,33,United States,B,Feature Adoption
325,2025-11-30,LinkedIn,62,Germany,A,Feature Adoption
326,2025-12-26,Google Ads,64,India,B,Feature Adoption
327,2026-04-05,Google Ads,40,India,A,Subscription
328,2025-11-26,Organic Search,23,India,B,Subscription
329,2025-11-09,LinkedIn,52,United States,B,Subscription
330,2025-11-17,Organic Search,55,United Kingdom,B,First Login
331,2026-03-29,Organic Search,24,United States,B,Subscription
332,2025-08-21,LinkedIn,53,United States,A,First Login
333,2026-03-01,Google Ads,36,United States,B,Subscription
334,2025-08-15,LinkedIn,65,United States,A,Renewal
335,2025-09-28,Google Ads,20,Australia,A,Feature Adoption
336,2026-03-11,Organic Search,36,Germany,A,Signup
337,2026-04-17,LinkedIn,39,India,B,Renewal
338,2026-04-05,Google Ads,26,India,A,Feature Adoption
339,2025-10-07,Referral,64,United States,B,Feature Adoption
340,2025-10-04,Organic Search,36,United States,A,Subscription
341,2025-09-28,LinkedIn,43,United Kingdom,A,Feature Adoption
342,2025-08-14,Google Ads,26,United States,B,Renewal
343,2025-07-04,Organic Search,35,United States,A,Feature Adoption
344,2026-04-20,Organic Search,62,Germany,B,Subscription
345,2026-02-24,Organic Search,50,Canada,A,Renewal
346,2025-12-07,LinkedIn,36,United Kingdom,B,Feature Adoption
347,2025-09-07,Google Ads,56,Canada,B,Subscription
348,2026-02-27,LinkedIn,31,Australia,A,Subscription
349,2025-08-11,Google Ads,41,United Kingdom,B,Subscription
350,2025-08-01,Referral,30,India,A,First Login
351,2025-12-15,Referral,61,Canada,B,Subscription
352,2025-08-16,Referral,21,Canada,B,Subscription
353,2026-02-19,Google Ads,61,United Kingdom,A,Subscription
354,2026-01-19,Organic Search,31,United States,A,Signup
355,2025-12-24,LinkedIn,21,United Kingdom,A,Email Verification
356,2026-02-27,Organic Search,26,Canada,A,Renewal
357,2026-02-01,Google Ads,46,India,A,Renewal
358,2026-01-09,Organic Search,52,India,B,Renewal
359,2025-08-30,Organic Search,51,United Kingdom,B,Renewal
360,2025-07-02,LinkedIn,47,India,A,Feature Adoption
361,2026-03-30,Google Ads,47,United States,B,Feature Adoption
362,2025-08-27,Organic Search,57,Germany,A,Renewal
363,2025-07-09,Organic Search,56,United States,B,Subscription
364,2025-07-25,Organic Search,46,United States,B,Feature Adoption
365,2025-07-29,Organic Search,32,India,A,Subscription
366,2025-12-11,Google Ads,38,France,B,Renewal
367,2026-03-24,Organic Search,21,United States,A,Feature Adoption
368,2025-09-28,LinkedIn,49,Canada,B,Feature Adoption
369,2026-01-12,LinkedIn,44,United States,B,Feature Adoption
370,2025-10-03,LinkedIn,32,Canada,B,Subscription
371,2026-02-23,Referral,44,United Kingdom,A,First Login
372,2025-11-02,Organic Search,23,United States,A,Subscription
373,2025-08-17,Google Ads,21,Australia,B,Subscription
374,2025-07-21,Referral,55,United States,A,Feature Adoption
375,2026-03-03,Organic Search,37,India,A,Signup
376,2025-10-06,Email Campaign,48,United States,A,Subscription
377,2025-10-13,Google Ads,38,United States,A,Feature Adoption
378,2026-03-31,LinkedIn,41,United States,A,Feature Adoption
379,2025-08-20,Referral,38,Germany,A,Feature Adoption
380,2026-01-28,Organic Search,65,India,B,Feature Adoption
381,2026-04-26,Google Ads,27,Canada,B,Feature Adoption
382,2026-04-18,Referral,59,Canada,A,Feature Adoption
383,2026-03-08,Email Campaign,49,United Kingdom,B,Subscription
384,2025-12-28,Organic Search,49,Germany,B,Renewal
385,2025-07-31,Google Ads,22,Australia,A,Subscription
386,2025-07-04,Google Ads,32,Australia,B,Feature Adoption
387,2025-10-20,Google Ads,57,United States,A,Renewal
388,2026-03-05,LinkedIn,52,United States,A,Signup
389,2026-03-29,LinkedIn,36,United Kingdom,B,Renewal
390,2026-02-06,Referral,24,India,A,Feature Adoption
391,2025-11-01,Organic Search,40,United Kingdom,B,Feature Adoption
392,2026-01-08,Email Campaign,33,Canada,A,Feature Adoption
393,2025-08-11,LinkedIn,20,India,B,Feature Adoption
394,2026-04-09,Google Ads,62,United Kingdom,B,Subscription
395,2026-02-08,LinkedIn,24,United States,A,Renewal
396,2025-10-26,Organic Search,54,India,B,First Login
397,2025-08-08,LinkedIn,52,United States,A,Signup
398,2025-12-09,Organic Search,27,United States,A,Subscription
399,2026-01-20,Email Campaign,54,United States,B,Renewal
400,2026-01-16,LinkedIn,42,United Kingdom,A,First Login
401,2025-08-10,Google Ads,21,India,B,Feature Adoption
402,2025-08-08,Organic Search,56,France,B,Renewal
403,2025-07-16,LinkedIn,46,France,B,Feature Adoption
404,2026-01-09,Google Ads,60,Germany,B,Renewal
405,2025-11-29,LinkedIn,23,Germany,B,Feature Adoption
406,2025-09-17,LinkedIn,24,United States,B,Renewal
407,2026-02-13,Google Ads,26,United States,B,Subscription
408,2026-04-12,Google Ads,19,Canada,B,Subscription
409,2025-12-14,Referral,44,United States,B,Feature Adoption
410,2026-04-13,Referral,54,India,A,Subscription
411,2025-09-25,Organic Search,49,United States,B,Feature Adoption
412,2025-11-19,Google Ads,22,Canada,B,Renewal
413,2026-03-11,Google Ads,24,United States,B,Signup
414,2026-01-19,Organic Search,39,United Kingdom,B,Subscription
415,2026-05-01,Organic Search,62,United States,B,Feature Adoption
416,2026-01-20,Email Campaign,62,United States,A,Renewal
417,2025-11-02,Organic Search,43,United States,B,Renewal
418,2025-10-11,Google Ads,61,United Kingdom,A,Signup
419,2026-02-22,Email Campaign,36,United States,A,Email Verification
420,2026-01-26,LinkedIn,37,United States,B,Subscription
421,2026-02-02,LinkedIn,56,United States,B,Subscription
422,2026-03-17,Email Campaign,44,India,A,Subscription
423,2026-01-01,LinkedIn,56,Australia,A,Email Verification
424,2025-11-05,LinkedIn,59,United States,A,Feature Adoption
425,2026-01-21,Email Campaign,45,United States,B,Feature Adoption
426,2025-10-22,Google Ads,55,United Kingdom,A,Feature Adoption
427,2026-01-08,Google Ads,55,France,A,First Login
428,2025-07-13,Google Ads,23,United States,B,Renewal
429,2025-09-11,Organic Search,31,United States,A,Feature Adoption
430,2025-08-19,Google Ads,38,Germany,B,First Login
431,2025-08-28,Organic Search,24,United States,A,Feature Adoption
432,2025-11-02,Google Ads,39,United Kingdom,A,Renewal
433,2025-10-27,LinkedIn,29,United Kingdom,A,Feature Adoption
434,2025-07-15,LinkedIn,46,India,A,Feature Adoption
435,2025-10-18,Organic Search,22,France,A,Subscription
436,2026-04-01,Organic Search,47,United States,B,Subscription
437,2026-03-08,Google Ads,56,United Kingdom,B,Feature Adoption
438,2025-08-28,Organic Search,57,Australia,B,Subscription
439,2025-11-30,Referral,61,United Kingdom,B,Feature Adoption
440,2025-12-04,Organic Search,27,United States,A,Feature Adoption
441,2025-09-09,Google Ads,49,Canada,A,Subscription
442,2025-09-27,Google Ads,26,Canada,B,Renewal
443,2025-07-28,Referral,49,India,B,Renewal
444,2026-04-14,Google Ads,61,Canada,B,Subscription
445,2026-02-13,Google Ads,19,United States,A,Feature Adoption
446,2025-07-17,Organic Search,28,United Kingdom,A,Feature Adoption
447,2026-03-11,Google Ads,25,United States,B,Subscription
448,2026-01-04,Google Ads,64,France,B,Feature Adoption
449,2026-02-03,Organic Search,33,Australia,B,Renewal
450,2026-02-16,Organic Search,23,India,B,Renewal
451,2025-10-30,Organic Search,62,Germany,B,Subscription
452,2026-02-05,Organic Search,31,United States,A,Subscription
453,2026-04-18,Google Ads,52,United States,B,Renewal
454,2025-11-27,Organic Search,50,United States,A,Subscription
455,2025-08-18,Organic Search,44,France,A,Renewal
456,2025-09-03,LinkedIn,27,United States,A,Subscription
457,2026-01-18,Google Ads,35,United Kingdom,A,Feature Adoption
458,2025-08-08,LinkedIn,23,India,B,Subscription
459,2026-01-05,Google Ads,55,Canada,B,Renewal
460,2025-08-17,LinkedIn,60,Canada,A,Renewal
461,2026-03-31,Google Ads,31,India,B,Feature Adoption
462,2025-11-23,Organic Search,54,United Kingdom,A,Subscription
463,2025-07-25,Organic Search,47,United Kingdom,B,Renewal
464,2025-09-19,Google Ads,45,United States,B,Subscription
465,2025-09-06,Referral,35,United States,B,Feature Adoption
466,2025-08-12,Google Ads,28,India,B,Subscription
467,2025-10-28,Google Ads,24,United States,B,Subscription
468,2025-09-06,Google Ads,46,United Kingdom,B,Subscription
469,2025-08-31,Email Campaign,26,Canada,B,Feature Adoption
470,2025-08-15,LinkedIn,38,United States,B,Feature Adoption
471,2026-01-12,LinkedIn,26,France,A,Subscription
472,2025-08-05,Google Ads,59,United States,B,Feature Adoption
473,2025-10-18,LinkedIn,44,United States,A,Feature Adoption
474,2025-10-20,Organic Search,25,United States,A,Feature Adoption
475,2026-02-05,Organic Search,35,United States,A,Feature Adoption
476,2025-11-23,LinkedIn,60,Germany,A,Feature Adoption
477,2026-03-18,Organic Search,59,United States,B,Renewal
478,2025-10-31,Google Ads,49,United States,A,Email Verification
479,2025-07-07,Email Campaign,26,India,B,Renewal
480,2026-02-01,Google Ads,48,Germany,A,Subscription
481,2025-07-09,Google Ads,31,United States,B,First Login
482,2026-01-20,Google Ads,50,United Kingdom,A,Feature Adoption
483,2026-01-22,Organic Search,57,United Kingdom,B,Feature Adoption
